GenConBlf,VacConBlf,InfoPros_Analytic,InfoPros_Experiential,Aff_MMR,Aff_Cov,RskMsl,RskCov,RskMmrVac,RskCovVac,BnfMmrVac,BnfCovVac,VacIntMMR,VacIntCOV_Child,VacIntCOV_Self,HstMMR_inconfidence,HstMMR_risk,HstCov_risk,HstCov_inconfidence,AttdMMRVac,AttdMeasles,AttdCovVac,AttdCov19,SbjNrmMMR,BhvCtrlMMR,SbjNrmCov,BhvCtrlCov,Condition,Gender,Ethnicity,Race,PolIdeo,SlfPolIdeo,age,marital,ChildNum,Income,Edu,Employ,States
2.8,2.14285714285714,4,3.4,2,3,3,4,3,3,3,3,3,1,4,2.71428571428571,4,3,2.14285714285714,3.33333333333333,3.6,3.83333333333333,4.6,2,3.5,3,3,0,2,2,1,5,2,3,5,1,4,6,3,20
4.06666666666667,3.71428571428571,6,5.2,4,5,5,4,4,5,4,4,4.5,4.5,3.5,1.57142857142857,4.5,5,1.57142857142857,2.66666666666667,3.4,2.5,3.8,4.5,4.5,4.5,4,1,2,2,1,1,1,3,1,2,6,6,6,22
3.6,4,4.6,5.8,3,4,3,4,5,4,3,4,2.5,2.5,3,2.14285714285714,4,4,2.14285714285714,3.16666666666667,2.8,2.5,3.4,3,3.5,4,3.5,1,2,2,1,1,1,2,1,1,6,6,7,35
1.26666666666667,2,5.2,2.4,4,5,3,5,2,1,4,5,4,5,5,1.14285714285714,2.5,1.5,1,4.16666666666667,4.8,4.16666666666667,5,4.5,5,4.5,5,0,1,2,1,3,2,5,5,1,7,5,6,5
4.26666666666667,5,5.6,3.2,4,2,3,5,5,5,2,2,1,2,1.5,4,4.5,4.5,4.14285714285714,2.66666666666667,3,2.16666666666667,4,2,3,2,3.5,3,1,2,4,4,2,3,1,1,11,5,6,32
2.66666666666667,2.14285714285714,3.6,3.2,4,2,3,4,3,4,3,4,3.5,3,3.5,3.28571428571429,3.5,3.5,2.57142857142857,2.83333333333333,3.4,2.83333333333333,2.6,3.5,3,3.5,3.5,1,1,2,4,3,2,2,1,2,5,6,4,35
3.86666666666667,3.14285714285714,6.4,3.6,2,4,3,4,2,2,2,3,4.5,4,4.5,2.57142857142857,4,4,2,2.83333333333333,4,3.66666666666667,4.6,2,4.5,2,4,0,1,1,6,2,1,2,4,1,6,5,4,4
4.06666666666667,4,4.6,5.8,4,4,5,5,4,5,4,4,4,4,4.5,1.71428571428571,4.5,3.5,1.71428571428571,2.66666666666667,3.4,2.66666666666667,3.2,4.5,3.5,4,4,0,2,2,1,1,1,3,1,2,6,6,6,16
3.26666666666667,3.85714285714286,6.2,5.6,3,4,2,5,5,1,5,5,4,3.5,3.5,1.71428571428571,3.5,4,2,3.5,3.2,2.83333333333333,3,4,4,3.5,4.5,2,1,2,2,2,1,4,1,1,7,6,6,32
3,3.42857142857143,5,5.6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,1,3,2,1,1,1,1,1,1,3,14
